hicdep,regadb
J05A,Unknown
J05A,aAPA
J05A,R82913
J05AG,NNRTI
J05AF,NRTI
J05AE,PI
J05AF05,3TC
J05AF06,ABC
J05AF08,ADV
J05AE05,APV
J05AE05+J05AE03,APV/r
J05AE08,ATV
J05AE08+J05AE03,ATV/r
J05AF01,AZT
J05AG-CPV,CPV
J05AF04,D4T
J05AF03,DDC
J05AF02,DDI
J05AG02,DLV
J05AE10,DRV
J05AE10+J05AE03,DRV/r
J05AG03,EFV
J05AG-ETV,ETV
J05AX-EVG,EVG
J05AX-EVG+J05AE03,EVG/r
J05AE07,FPV
J05AE07+J05AE03,FPV/r
J05AF09,FTC
J05AE02,IDV
J05AE02+J05AE03,IDV/r
J05AE06+J05AE03,LPV/r
J05AX09,MVC
J05AE04,NFV
J05AG01,NVP
J05AG-RPV,RPV
J05AX08,RTG
J05AE03,RTV
J05AE01,SQV
J05AE01+J05AE03,SQV/r
J05AX07,T20
J05AF07,TDF
J05AE09,TPV
J05AE09+J05AE03,TPV/r